words,x,y
huizhou,4.5716994429128,-1.1760499482419609
wenzhou,5.962767570647822,-1.6532266730062986
taizhou,4.814859825910094,0.2816911287867449
nantong,4.109061905384339,-1.2983255523105257
changzhou,4.99656404231087,-0.9723148040547679
baoding,5.854576410712949,3.8990831283486505
liuzhou,3.688464822096503,0.4041497697268499
jiujiang,4.066885414671472,1.171957205402689
fuyang,2.8120160623795014,0.8155880497644495
jiaxing,2.172097951937284,0.06538539106130313
changde,2.492480736223025,2.0179142935762777
yantai,4.047724030039967,-1.469636535227243
jining,2.876798483588383,2.272470432119347
yinchuan,4.639953457074317,1.138902047408246
jinzhou,6.3520517574086695,1.7662754146176436
songjiang,4.048467554251021,-1.4726792265073643
weifang,2.2019256128240348,1.2424928804558397
qiqihar,3.756261968641943,-0.5871938214091396
zhenjiang,3.890983105579637,2.4141658075407317
xining,4.079643624039759,1.2356118070451785
anqing,1.869570625228164,1.9372751146736173
shantou,3.4328986362285083,-1.913914915303326
mianyang,2.4615023415122033,2.0591801277218464
zhangjiakou,3.068772868523413,1.1204383757699168
meizhou,2.8493671651134993,-1.4945806079913608
wuhu,3.2358289934748963,-0.11315029665656248
yichang,5.084739488255939,1.748161769708665
shaoguan,1.2864033743203862,-0.09819462630367565
zhaoqing,1.548416057972007,-0.24514467136028223
baoshan,3.0405738096209314,-0.6512524728355823
qinhuangdao,2.954130778683569,-1.2355945567044235
taishan,3.351639444337539,-1.3051199326838345
ganzhou,2.5347108674648715,1.8463643399710343
zhanjiang,2.6693130293034146,-1.7947525538456899
zibo,1.7022922802873341,-0.1833422091746091
weihai,2.9464525774149033,-1.7497478913308917
huzhou,0.7492481179941901,1.0803471817191217
daqing,2.2772141501076177,-1.4609521611944942
kunshan,1.6075905285280587,-0.8610736498163749
urumqi,2.3510815145822024,0.13167702009908194
baotou,4.011796225562756,-0.022095395452979266
changzhi,1.9388192834227966,3.3506486963705977
xinyang,1.0847526618644543,0.9920391912196505
hengyang,2.599533411597643,1.4105461345567996
xiangtan,1.370310076858143,0.581488199176956
putian,0.9425038820754001,-0.09453166875030154
nanhai,2.169065585879501,-1.592559385360689
dandong,1.8578592195079762,-1.7540169859318075
liaoyang,1.6737999933325731,2.474839789512416
yichun,1.6994635070790776,0.4279952041122591
wuzhou,0.47787126974014915,1.3735773775524314
luzhou,2.6298183697112947,-1.2145404041058097
cangzhou,0.967293039605852,2.446857725159075
zhangzhou,3.029914725350485,-0.20297713609226115
lianyungang,1.8014820583035893,-0.530826043222641
yancheng,1.840664444438394,-0.7008739677982457
linyi,1.728918703165407,1.6601137015439604
guangyuan,0.3980456488404325,2.0440298314235377
jiangmen,1.4637790922892842,-2.210249379894187
nanping,1.8671039603973212,1.6325031424906287
jingzhou,2.134167363486794,4.04978426740756
yingkou,0.5254012294150224,-0.43798802432592066
weinan,1.1303376724128813,4.147479315998012
yiyang,1.0388607113804063,2.4374138639918868
huanggang,1.7127857332313232,-1.0695178548700834
xingtai,0.8218256755821997,3.28615942139805
linfen,1.2913886596723803,3.2385424311713935
xinxiang,0.6340605567888564,1.724556031441534
beiping,3.366114853115248,2.3313345802102896
ürümqi,5.7509638398475555,-0.7102595769621566
nanshan,3.850424869711045,-4.384078056224362
beihai,3.0773032567804908,-1.2864851194337377
jiamusi,0.6539108752767528,-0.5485504262665416
tianshui,1.0122994335385622,3.488577312027996
yibin,0.26487774084300314,0.06092140754973976
hekou,0.6763083614923996,-0.6878993020552275
shunde,0.31340558920809375,-1.7779142696520536
wenshan,1.1478602642040439,-1.3661335704446738
changshu,-0.7061671310175671,-1.144183462046197
xincheng,3.0939379432533856,0.06998943247217783
tongzhou,1.6582111115927152,-1.186234441380726
shangqiu,0.17538465449621285,2.059559834990005
xinzhou,0.43682489182539297,1.7561926575848879
jiaozuo,-0.024636989114506274,2.0314142985921255
yuncheng,2.3247579570274253,5.043999089687687
baoji,2.0275824431806546,3.7472601503412664
dezhou,-0.4782116621256757,0.98178036892017
linxia,1.2528335530998667,1.6524361790809665
xuancheng,0.0836511101966677,2.2254425071010466
jiading,1.8199084443903757,-2.4016640913872616
mudanjiang,0.9693865053060414,-0.4022354253130846
panyu,4.875820285769601,-2.777474493452199
huangshan,2.724209376747892,-0.5040539907809142
zunyi,0.5844599247348352,0.4128627063837362
nanchong,-0.5751188609313174,0.829332857355945
maoming,0.3949490186195358,-1.377708033426501
jincheng,1.570339153030613,1.6457808724220215
jinjiang,2.3119759706473104,-1.75609479773371
yueyang,1.858254055932316,1.5147069233088177
qingyang,-0.22936759348707045,1.2212978244579409
yiwu,2.594938793621273,4.120838879677131
hengshui,-0.25999266067704135,2.0889904233922114
jinshan,2.0015755137550886,-2.5282371527791088
tonghua,-0.3734958485880824,0.5081581991838241
xiangyang,4.013511065361076,5.597301486854423
lishui,0.4529516935311645,-0.8036933430820874
jiangyin,-0.8715129884201758,-0.5078577698566542
chengguan,2.1925509385980506,0.8676923094374409
xuchang,1.1298528076337722,5.527897770353807
qingyuan,0.6029140032187176,1.447063444769003
chifeng,0.9238528751461449,0.21836381196050747
longyan,1.0485166310564837,1.6587351828337393
wuwei,0.48360413651752304,4.353536679652908
puyang,-0.1864466364066951,3.4239575724965947
changle,0.9323406060985908,0.981070214280997
yining,1.4977197436507814,1.145033671378668
zhangjiajie,0.3041818111921651,-0.8966662179741036
daxing,2.1027881923843523,-0.7735294096607543
zhongyuan,-0.7740035515865962,-0.5638506688932945
jixi,-0.5265120943428485,-0.16671176941013105
jingmen,-0.727424192498802,-0.04456594808872547
ankang,0.12405213569325872,0.5527274685720908
jiangbei,0.5009059997927049,-2.0260730697932297
leshan,-0.11122878845317008,0.03887439069702304
kaiping,-0.20172739439894619,-1.1161898518210065
sanmenxia,-0.38557696970603267,2.4958032484998505
heping,3.052926841136783,-2.0505059196364206
changjiang,0.056723599137263166,-1.4699394370840388
suining,-0.5128144390269967,1.04336834472351
zigong,-0.33024160062735936,0.588920450109024
benxi,-0.9513016220877192,-0.8593240185899973
yuxi,0.6705166161226908,0.06645124242727914
tieling,-1.0111315144172395,0.4131253475309387
xinghua,-1.092814777027097,-0.3969408080282982
fuxing,2.87060662966212,-2.3855302260326527
yongzhou,-0.22102129742567686,1.249786456706089
yanji,0.027438749232826486,-0.706769333370921
