words,x,y
guitar,0.00010692777195708337,-0.00019557230789964743
bass,-4.217412825138665e-05,1.1812789628321883e-05
piano,6.5023205868791e-05,-8.611374218991381e-05
drums,0.000122467372179211,3.1369257795090604e-05
string,1.7054511024944278e-05,-0.00011623824810497444
keyboards,8.718650051271184e-05,-6.426413285417386e-05
percussion,-7.749148378850953e-05,-3.0420521183283227e-05
violin,-0.00021208748830824837,-4.359361938414509e-05
horn,-6.649759798208721e-05,-0.00015016782242724633
saxophone,-5.589535669009786e-05,4.293751496997662e-05
tenor,-3.101102372548444e-05,0.00010528293254569924
flute,2.5600531034052352e-05,-0.00010315342753416495
viola,0.00016189005208411207,-0.00019997253967232292
trumpet,3.377905481140341e-06,6.151109076528643e-05
cello,-1.1165926374123974e-05,0.00012464963047264263
clarinet,7.389477458920367e-05,-0.00011965615324283348
baritone,-8.131556676368017e-05,-0.00013755711327325336
synthesizer,0.00010830730045834067,-0.00017611954962954904
trombone,0.00019432854608514654,-0.00012501461201846909
harp,0.00013259773289157642,8.855078198283207e-05
dog,-3.770749469434742e-05,6.594506681321598e-05
cat,0.00016978602833006822,-0.0001444531274373828
dragon,0.0001448910515282355,8.823080391509027e-06
monster,6.0687676714191346e-05,-7.880560056163198e-05
mouse,-9.505460751950129e-05,-7.644433934259862e-05
snake,-0.00012942396598449778,-6.879803871372278e-05
cats,0.00012033132172881791,8.442597688006589e-06
pet,-6.727878146262986e-05,-4.3456872608891014e-05
elephant,0.00012556815512678108,4.528084771020209e-05
monkey,-1.5202713214812333e-05,-2.0009955524795083e-06
rat,-0.00015037974372152349,0.0001799311749403916
rabbit,0.00011566362541762606,0.0001980108002007263
pig,-0.00014354635584992216,0.00022733092951824404
doll,-8.791578696124927e-05,-7.707238782926117e-05
