x,y
1,0.03055605525633635
2,0.03228638143043544
3,0.03722300040482582
4,0.05701783534520271
5,0.03973760540033032
6,0.02529283730713063
7,0.04940622945781232
8,0.03254993197746696
9,0.08001909325240991
10,0.0236734224579009
11,0.04813747038008858
12,0.029817804802108105
13,0.024572036826297296
14,0.021736007476997
15,0.0252856512151997
16,0.018552005082487995
17,0.049349736971477466
18,0.02209290482959159
19,0.02947517571300301
20,0.054183370245852853
21,0.030870713957701204
22,0.01992848291483634
23,0.03437380130046547
24,0.042661431945213206
25,0.01710939240504655
26,0.03376659651334534
27,0.043805894709936934
28,0.037135002452033036
29,0.026315772984255262
30,0.03160901739489639
31,0.024541981430300303
32,0.027480421225861862
33,0.049562844758400885
34,0.03321149242935586
35,0.024885079303145645
36,0.026861477813064565
37,0.05369073407186939
38,0.02186933195111412
39,0.04325867794765767
40,0.03647637589002553
41,0.02597149973887988
42,0.025842625706725224
43,0.029635728596845337
44,0.02300388224886937
45,0.03037735432965466
46,0.03682911408453604
47,0.026726496510638145
48,0.032082018970836325
49,0.04283689634114565
50,0.02422329753181081
51,0.027461960687675677
52,0.05163088475984534
53,0.02085527398712012
54,0.039760972666243254
55,0.03600944027630782
56,0.03565673481456306
57,0.028171919084421918
58,0.03687264445308409
59,0.04604950028790841
60,0.016931961294987995
61,0.052685783238888895
62,0.010190519950789787
63,0.019372483669744745
64,0.045964005421363356
65,0.0271485721851997
66,0.03357622341736036
67,0.03899926016292344
68,0.043754620841845365
69,0.0778071579813063
70,0.035185030297169684
71,0.03990530218914115
72,0.031892838734599104
73,0.021981763137091586
74,0.023561653269731225
75,0.042116123376699705
76,0.01731888855116667
77,0.03219805160448048
78,0.02874522348587988
79,0.02627918663319219
80,0.021134114667842336
81,0.02518402998571471
82,0.06511965323504805
83,0.02049569344586036
84,0.023050232479891894
85,0.026930359133421927
86,0.022476399407231236
87,0.04117700896837687
88,0.03853711240973426
89,0.022858823452360358
90,0.033756884661367864
91,0.02934045374341592
92,0.030342683316618626
93,0.028073547411564568
94,0.040989028610674175
95,0.02715826082655855
96,0.023301469367441444
97,0.02119204191451201
98,0.025093920046567565
99,0.02898829896819369
100,0.023121972736971468
101,0.021902828671657656
102,0.03726926750086187
103,0.041630136380163676
104,0.03433900363184534
105,0.026212338861034534
106,0.017406130618336332
107,0.02010974170309009
108,0.02016209140818919
109,0.022933071026297304
110,0.031171984931608103
111,0.017020570015990992
112,0.027307104679747743
113,0.04950958805790842
114,0.03797687650318919
115,0.03303315027562312
116,0.028448393302471477
117,0.014244535245575075
118,0.05060534103468769
119,0.022531627483258262
120,0.01621371591103604
121,0.03780719458784234
122,0.01146173397491892
123,0.028569484586436933
124,0.025897877641509016
125,0.03797042259342493
126,0.046653721640471484
127,0.027440303064091592
128,0.023635985034633634
129,0.043330938506966975
130,0.023273441246896388
131,0.05834729851433632
132,0.024819597642138144
133,0.02315619214348798
134,0.028123671459381383
135,0.01726800857471322
136,0.03485591889754805
137,0.03506416624969969
138,0.022233380646620116
139,0.028321620979084083
140,0.025185990313352852
141,0.03225696796384534
142,0.02771174788532132
143,0.021609921506675674
144,0.03812878126808859
145,0.04550262087834084
146,0.05087507329428527
147,0.04755769476221322
148,0.0328444664747988
149,0.027347027349252255
150,0.02241919923755255
151,0.03205679872055556
152,0.033330753864355855
153,0.023390178178755258
154,0.03009497320163664
155,0.027508329381620126
156,0.05159550418333633
157,0.043412440530463975
158,0.02403189511777478
159,0.03892373812708408
160,0.024558315491861864
161,0.016162705728175672
162,0.032931705919972985
163,0.030662013230255247
164,0.018264694718307814
165,0.022775156225714712
166,0.02558241060178979
167,0.03205757982227478
168,0.027691038804603597
169,0.05130003798723123
170,0.04199463844557508
171,0.015160752124813817
172,0.017729809708102104
173,0.036009427299472964
174,0.03278020970818768
175,0.0709181979412027
176,0.033582354060750746
177,0.021070015237361864
178,0.03815803741725525
179,0.023704081384710213
180,0.019798290218692196
181,0.02707445790341442
182,0.02335745404371472
183,0.015247222942157662
184,0.04626859272358558
185,0.024171234157747752
186,0.01720224260782432
187,0.03170130233033633
188,0.03953012264823124
189,0.026831294000891896
190,0.04570916298646546
191,0.022477548831525532
192,0.05792829860996546
193,0.024328641000744743
194,0.029502154813333334
195,0.0301700025092973
196,0.024455365387472977
197,0.018795509544036026
198,0.024406320937936935
199,0.0314525067023078
200,0.03552701193583033
cluster,0.0
