words,x,y
unavoidably,1.4325747142169454,0.4745646449562029
pathetically,2.48886782281051,-1.1390270676141083
blameworthy,0.11849065698757169,0.7778229064831892
inanity,0.43102884826569815,0.029314911536980466
smugness,1.4737860544226222,1.0400778564802187
shamelessness,0.8263054490431038,1.363601708964868
neediness,0.09575992229033949,0.7814651559249256
feebleness,0.2030635134182713,1.3572958060356932
thoughtlessly,-0.1266747524684999,0.008028093167401487
flippancy,0.6371240444391861,0.4772262953619265
diffidence,1.5192838873892962,1.2888354825228183
childishness,1.1811456644908136,1.1353281924516065
inventively,0.4063760835474516,-1.1292183934030326
castigation,-0.4179728278551718,0.8361025816801776
casualness,0.3048129260370579,0.1786508112071685
signally,-0.9579928670817113,-0.19774753090852515
impetuosity,1.2785674496745218,1.6716663468859174
disconcertingly,0.139230555211811,-1.0291981571495672
quibbling,-0.6081682737019901,0.1496910443343218
deceitfulness,-0.26465955033298566,0.9902605349410338
unskillful,0.03913104514815042,1.1269256836190924
indecorous,-0.0020657413284422606,-0.10248746407783156
evasiveness,0.18955577344850852,0.7292674236877555
doubtlessly,-0.061747919769109504,0.3813064457273231
palpably,1.8880327420051075,-0.5368704439035843
asinine,0.5857700650987465,-0.5943697633428183
thoughtlessness,0.327438225620433,1.2999916790735186
uselessly,0.05391977584343967,-0.819825831922307
insouciance,1.1335297739985737,-0.15497668179545182
lamentably,-0.5121104472016058,-0.477209603762787
imbecilic,-0.20860092206142464,-0.6076911724793657
seemly,0.3224475511742505,0.15785912047643316
craftiness,0.545736456042518,1.124754036377573
depressingly,2.4302032675714456,-1.7376005346607444
inadvertence,-0.7110912023584862,0.73457430726527
ungenerous,0.695173304384742,-0.26270040726811505
incautious,0.30135065664148347,0.04478891081584128
sycophancy,1.012670395061125,1.2160414310189822
petulance,0.8634143582620897,0.47122625189648026
spiritless,0.42042995832521013,-0.7496589595503108
inescapably,1.1783616423668029,0.15225901763706148
anxiousness,-0.17202322304285647,0.6690768162569305
uncharitable,1.1216523420182156,0.7610354185286872
meretricious,0.17518112391905644,-0.4402043416019925
deviousness,0.5053754074132667,0.9169659591697994
apatheia,-0.8132205211279251,0.9342905388367376
fickleness,1.185353313419773,1.7455586669559724
inessential,0.23499022577245293,-0.1845763095042061
inhumanly,0.8733984496637596,-0.9820724265045649
boastfulness,0.6626661979152926,1.3229327886171063
heedlessness,-0.8257440781753926,0.925380711629748
ignorantly,0.16996434601199262,-0.05959649701160575
hectoring,1.4969953267682758,-0.4529506537089117
subversively,0.30028558363120106,-0.8220232867764896
backbiting,0.07565414870682961,1.1515288946245856
nastiness,2.11614551469827,0.8030797714952039
churlish,0.47041264782796277,-0.3164979023296963
egregiously,0.9998838489080846,-1.0054767005220269
proverbially,-0.1944081981809879,-0.4328667749512971
wistfulness,1.1049701323130314,0.4054475389120796
crudeness,1.7392040586047797,1.2984623586348016
excusable,0.60805014919883,0.7398707514545698
insensibility,0.3185139101129129,1.167460640724807
waywardness,-0.3924923987750615,0.3506189726217903
greediness,0.5206459125302109,1.3799414477516736
dispiriting,1.2214648987314347,-0.8811443253402937
talkativeness,-0.28087404671522964,0.6367346649435923
saddening,1.1311730504765463,-0.7122743706557308
unmeaning,-0.4593612340485811,-0.024192402640212246
unwarrantable,-0.1935255015221655,-0.1307622063932311
unflinchingly,2.387632958490196,-0.7789445354986727
withal,1.0759315846458,0.3672894171758125
unremittingly,1.3363148318033833,-0.9681963040452982
oddness,1.3844279554208956,0.6409300814406017
evilness,-0.10018062905753798,1.3769408997869836
irrelevancies,-0.75894466339069,-0.22748440204980644
mawkishness,-0.393286480088176,-0.012974821183141763
wretchedly,0.0536958388679251,-0.8582005531604688
jarringly,0.39280765856396005,-1.3347615011404648
impertinence,1.3427637895875844,0.9308470186664095
mortifying,0.022844871452405945,-0.16859089657377538
remorselessly,0.18585463500469973,-0.15558431541940787
discourteous,0.9641529680821774,-0.6596711115589794
pettiness,2.266339689528024,2.4947685143616614
manically,0.7299004775848542,-0.9568736313875925
deviously,-0.17315555829448895,-0.9987463214183883
unserious,0.026002108400613642,-0.5579393003781398
wastefulness,0.7551179683033865,1.6586235936892777
irresolution,-0.28484307691276595,1.1298989778349553
sickeningly,1.001938862950481,-1.1834726667493667
grossness,0.792864505550556,1.110560767449264
fascinatingly,1.3047824048597785,-1.614771086776001
crudity,1.2514683097619197,0.8094624524399993
obloquy,-0.5662522600899752,0.39579524235045244
glaringly,1.0628720147854036,-0.7303434515330718
vituperation,0.1978600501606045,0.7401694667141526
cringing,0.978432199081461,-0.09414708580279832
stinginess,0.5846621590307652,1.5427936570093828
pardonable,-0.589698551206719,0.36847276280818203
platitude,0.09675588759730393,-0.14114768945685757
candidness,-0.6204451058091459,-0.15334180948553194
gimmickry,0.5429858293607447,-0.7343393928156092
sloppiness,1.7504909920846627,1.3938360179219822
tastelessness,0.36931943560856856,0.5234942963939725
miserliness,0.24384986422640048,1.2951547087343205
abjectly,-0.5086758701291486,-0.09590478855757587
infuriatingly,0.2035241033111358,-1.1440713520671382
illogically,-0.8050476303283428,-0.7613974993556186
intolerably,1.2875211268216653,-0.6575979362842183
adorably,0.5172283478818475,-1.4019375332877788
reflectively,-0.6938782968780206,-0.39004461950527197
listlessness,0.5039152441132486,0.8215720910170067
negativism,-0.14820686275974768,0.6861491854284686
falseness,1.254248013762348,2.044228984475573
wantonness,0.018402518871106596,1.3758867415051257
guffaws,0.0430567829817592,-0.6052333879901469
cuckolding,-0.6858134318311315,0.34622215894495734
adeptly,0.06227593897656867,-0.9760559337968444
grotesquerie,0.43288621578140374,-0.0633172911066101
languor,1.0702980058981892,0.26436551679376136
purposeless,2.3200346099568367,0.8336726022438052
stagy,0.10616757560442686,-1.291946831914514
stoical,0.7763720922166139,0.28213920386629865
pointlessness,1.0606394757351052,1.080366668117904
diabolically,0.6878054998147483,-1.4189890228335515
enormities,-0.6517268823337974,0.6434086964721214
aimlessness,0.7994728234788129,0.7415472895513618
stereotypy,-0.9207951779671432,0.4517742647219905
irresolute,0.5608087798380195,-0.22328258997213118
irrefutably,-0.3903460988602024,-0.49835122719769614
giddiness,1.112066834655597,0.9627065498388587
hubristic,0.3920253304322052,0.3004370739653856
imbecility,0.5787260972429881,1.8614058390135866
confusedly,-0.38086513862027677,-0.6392767061249249
grovelling,0.21509886945670206,0.22950370073559495
maliciousness,-0.20206598952204635,1.0054210743816823
barbarities,-0.6765085624240407,0.4955319904434812
abruptness,0.2848393067387341,0.5137558261064233
mutterings,0.024755243872660503,-0.11428950010123867
tyrannous,-0.5708610661600105,0.12465987579558806
unquantifiable,-0.9079034594232935,0.4007218385119651
risible,1.2778690392419927,-1.0780418918069834
unassertive,0.5867663734971605,-1.0400224928272013
recurrently,-0.7293348354746676,-0.2658934875500779
effrontery,0.5477457861069746,1.001090533405952
improvidence,-0.4203819997066019,0.7629881248470943
voluptuousness,1.1113856654700076,0.7313753449561976
outrageousness,0.4183952482353042,0.16488624571477956
showiness,-0.5285087497719217,-0.09145891565799016
harmlessness,-0.4121692682485389,0.9215903565493443
unmeasurable,-0.41912895790010485,0.5796191080101581
excessiveness,-0.7016199186582412,0.21387857928318213
basest,0.058615573220115805,0.653404430262043
audaciously,0.5094428027698144,-1.3183189925633
brashness,1.1450320480958847,0.4996055179450437
rashness,1.582030522977769,2.450494846887837
unthinkingly,-0.5687867175777105,-0.10385988668324835
gesticulations,-0.5980909126854581,-0.43410490596120954
irritatingly,1.6865655243447315,-1.5674810233715435
emoting,1.646780582500127,-1.11079621814514
contrariness,-0.8934607839426811,0.3583932224192584
blandishments,-0.3010160164314648,0.12389022720011113
pertinacity,-0.5745390508730185,0.7762475277619162
uncharismatic,-0.293985324398217,-0.7436379947215963
ordinariness,1.4731315014181294,0.3874537191339974
unrelentingly,3.1970105665634057,-1.422245735363058
crassness,-0.05804414194594582,-0.1186700679939806
foolhardiness,-0.299366914768525,0.28210227278818417
hypocritically,1.1257565649668122,0.42886935192896636
shrillness,-0.6889625126662905,-0.14428747452506405
prolixity,-0.1521019035163548,0.3919956296965686
affronts,0.01671300846410124,1.0585944724781629
intellection,-0.7641856848252693,0.8122267025832005
stylishness,0.5513512313412429,-0.01560141453402011
uninvolving,0.5702418977703207,-1.5479937026888846
malignity,-0.42276187953841526,0.7303389470039349
cheekiness,-0.057985627133150426,-0.18860136879873732
atrociously,-0.32861283204648306,-0.904813870747281
undesirably,-0.5698696032095132,-0.6185698851222047
hollowness,0.4867383614519495,1.0330507689559911
babyish,-0.31815926698687313,-0.8872093997908939
inartistic,-0.2697397063219956,-0.6363366775999874
slanderer,-0.4741997399336257,0.6438052412611963
revengeful,1.097629551155581,0.40873223255522745
crookedness,-0.8942907048228764,0.4831481711783467
horrendously,0.7556568238645396,-1.5259185238513742
passiveness,-0.30477051969804375,0.5388255223962198
bitchiness,-0.5212136847226565,-0.25337180113367175
ineluctable,-0.7515185071703372,0.15688031412551695
bewilderingly,-0.2911545548552788,-0.7508105064891542
conventionality,0.6034692283916487,1.0358791290403937
mendacious,2.1172906038287502,0.3696768672446104
