words,x,y
decorated,-1.9630096286799654,-1.462665541971174
nursing,-0.06689545892907438,0.8482414163914719
functional,2.602694497238815,-1.29734737392561
snake,-2.4719112845792117,-0.2297209768534815
improvements,1.7709547195231343,-1.8351311431707351
kerala,3.588353216038844,2.4322081066324497
drinking,-0.9483198012976588,-0.4448283551552178
explains,3.8120271327657798,-1.613118861945438
passion,0.7504998879028782,-1.5947592881929469
travelled,-0.842204829924481,-3.2108570720764775
nephew,-3.4802162564233563,-1.7479635479516098
lesser,3.2803985987211517,-3.1275460772548858
lucy,-3.9920102490032434,1.7684734397297475
ranges,1.4474262770752846,-4.010233492805812
collegiate,-0.20590931658271536,2.3190981148071317
burton,-1.149022646434039,5.107825256759251
née,-3.9322460729722852,-0.2707263086698734
arsenal,-3.3568680904470334,3.44715321897466
strings,3.771625524482172,1.5512388817033054
hybrid,2.7581289392715966,-1.8335874949346505
developments,2.9401499977543777,-0.6996459988585139
warrior,-1.519830398996944,-2.424505096606751
emphasis,3.4982347328594545,-0.7718874599415877
chelsea,-3.39043638377345,3.54292934849641
proceedings,2.706329005823238,-0.7779293031481178
compositions,3.3947582900387685,-0.10106335571348768
milton,-1.5415791894306066,4.902317750916041
coup,-1.7234294806802537,-3.3163190740778896
disbanded,1.202622849343773,-3.1398567420919465
prove,4.027249564917879,-1.6256523794819795
suite,3.176172947480363,0.4844462437090107
scotia,-2.803107280391309,3.901156361837778
derek,-1.9430933461294242,3.1879183425511664
destination,0.009151464774475702,0.37396025848576603
teach,1.6505733714442972,-0.34240754412641133
reid,-1.1189491004746033,5.05234197672935
client,1.8485673123070463,0.8685785650008386
militia,-2.9249570465052654,-0.4712954658871796
batting,-3.9107207309645724,-0.9894582187267262
proteins,1.9104305031165099,-4.463400962017248
samples,2.223716215037542,-2.1550703552724726
traveling,-0.7291106588519138,-3.2535530143645004
readers,2.696133617943868,-1.3088001901693533
seminary,0.906139347970672,2.460592853447675
reducing,2.079484954668666,-3.6751212972403047
protocol,2.582141626964766,-0.10843690397242375
ruins,-1.9391176350634487,-0.6413948500477723
bio,0.42505552381258105,1.274194251383953
customer,1.6396069269627411,1.0435774779824392
notice,4.179530910395465,-0.6295874156934123
edgar,-2.002611977536191,3.5294891537103594
hamlet,0.2272972743484053,1.4750790909157914
tornado,-2.9242054532873607,0.5923239402764315
neo,2.6538646931832015,-1.4408679967655345
metre,-2.911659366086144,-0.7110721707812023
philosopher,-0.7386438871633777,-0.7034311964439268
emotional,2.7136009997290507,-1.5315422888386587
bomber,-1.1889137220027157,0.4888362610685275
escaped,-1.3458008689606582,-3.653802330708167
casualties,-2.490237052469405,-2.4050889351674627
garrison,-2.9658622607781386,-0.5763510301704786
abilities,3.0031740919342034,-0.7630367208260076
glory,-1.067233119949046,-2.1061482663049116
extend,0.9439593994890092,-2.79045554006895
sixteen,0.16627547341135723,0.6547062884131595
colonies,-1.5347880751270326,-0.8356629750189969
shut,0.4674242124424076,-3.8151297731700775
willie,-2.1481450380393166,2.964325168525849
guild,0.22112662375563996,-0.06834009701165236
psychological,2.142301395401877,-0.5067508093779256
plains,-1.2201074729845451,1.8215838510078148
permitted,3.628469991931761,-0.29367978374781645
suspension,1.4949353971606254,-3.6312830976844106
interaction,3.1185405111685345,-1.0729867451239323
affect,3.1387937651071374,-2.89301799642919
surprise,2.88906105832879,-2.5535645066352615
peer,-0.3182344004725546,-1.4140738566624411
footage,0.5619525216555374,-2.4313532268563756
capitol,-1.1895397099587621,4.3793429445651055
icon,1.1783780912648731,-0.648952981750669
hugo,-1.134569762482608,3.268063707884319
cliff,-1.2379067299828004,3.9929900710760795
meter,-2.815789415546225,-0.793292479815642
identification,3.7130452918901566,-1.2222861784822414
jake,-1.9481047637553905,3.0490261463607404
jail,-1.9219511483560594,-3.472068044288889
bruno,1.6642297539176374,4.137021391409917
grants,2.0108154634565008,1.4076977670003614
consumption,0.3135625916240776,-1.0256928845806383
administrator,0.9112133834292794,1.5869752532005426
doctors,0.13212038454644612,0.7387385779495901
mutual,3.5215614891733584,0.35590791964028495
mcdonald,-1.0320422106069431,5.093441178885394
westminster,-2.6084595717998016,4.321052295198661
voyage,-2.465890188186242,-1.2989712600394527
shock,2.040843677431104,-3.225054904005406
stops,1.18308599669675,-3.884405488435815
paradise,-1.2126465490002816,-2.034305873623108
cb,-2.800704295203013,2.073297648651515
keys,-0.9580349380909465,4.751070746029702
marshal,-3.032252625621339,1.0102157501709783
sunk,-3.148866162355207,-0.7343213931092188
orbit,-2.834653149514141,-2.600873003021546
teen,-1.8231476896266132,-1.8702023145115931
pulled,0.434659352313441,-3.9019165766588855
backed,2.0969632502575606,-1.6371722392161911
lynn,-1.703227793929366,4.474299494393766
equation,0.4923664565499299,-1.5778421164070833
diana,-4.046965377382636,1.7259656354724093
sized,1.6849300111160321,-3.54345533400417
quarterfinals,-0.9425349574693882,1.3395716272723723
employee,1.5276736374819846,1.2151586250214965
payment,2.4962007574054357,1.3774477419709568
grows,1.1236931092202844,-3.7726050366848103
oxygen,1.392479404981473,-4.313161229136749
wider,2.325116494331985,-3.721967655001423
clerk,-0.6223089117553146,2.0413248370157673
numbered,0.11617656047465762,0.8592832131704164
exhibited,-0.29150277040352274,-0.9141242742880641
boards,1.8847880106580739,1.5537394666124382
copenhagen,0.5482155208457885,3.373822575425554
dome,-1.8978220176030018,-1.1486191443107205
firing,-2.238390274023295,-3.1132812764868314
bearing,3.5936160654811786,-2.4088223422889414
solomon,-1.5559566750458886,4.0594842011551275
dissolved,1.3959775203355287,-3.1777613170263947
dynamic,2.8238204181042565,-1.4238508226646895
difficulties,3.6231635126236488,-1.5112187916940372
elevated,3.245577556049938,-2.748165146501242
museums,-0.352495114594379,-0.7357415312890712
belongs,3.290546595951259,1.3889300100515916
survival,3.0700245230995074,-2.1748700882568484
ace,-0.7978051719747388,2.15781556297941
plymouth,-3.2169756786275334,3.815289289044954
editing,0.2714798966583725,-3.495804571111073
santos,2.270610053568913,4.0797465302663225
diversity,2.929597777560925,-0.9411245198571273
wasn,3.016575248389457,-2.6158721550227004
roberto,2.03610347191248,4.147548686951916
cultures,1.7483021263051766,-0.05551415880606653
windsor,-2.4083853638348867,4.413726188152195
confused,4.066551122131776,-2.023695592106964
istanbul,1.2911561708447223,3.3166493470346023
ref,-0.8490926293928299,1.45506003520474
placing,1.3334651426283286,-2.816782766575957
tested,1.241194720582374,-1.0944322793462489
zoo,-1.799224738496741,-0.19347100984210627
relating,3.9121122028819606,-0.9820847738470302
variants,2.818293085689949,-2.9248456245666254
edmund,-2.1763007647793247,3.4815634729382365
hearts,-0.6110739176916733,-2.645487833329918
reynolds,-1.0450052646912937,5.129832880661461
associations,1.892958410155941,0.9811786108224628
monte,1.649404421660783,4.163489488163099
shots,-1.87197495635729,-3.5321804521424682
inherited,-3.30513687974602,-2.1283449117537305
ferdinand,-2.665394120864995,2.8889282256465183
elliott,-1.059702799145835,5.080747140819913
observatory,-2.737376038137451,-2.19822101201303
mt,-0.906962029661077,3.8932224423235366
malcolm,-1.7682630827762578,3.9239357768472
jamaica,2.4714211929969796,3.470402269548146
highways,-2.259122557718299,-1.3255057165392667
theatrical,0.001008857212052321,-2.514122988223451
boeing,0.6241704446984699,1.3642277089750003
finale,-1.1224258434148742,-3.613992360824307
richards,-1.0470041093078215,5.12763369720167
testament,-0.45204160959354817,1.2057110950898284
lighting,-0.8696737770061624,-1.6727331998179473
anglican,1.0527573605839138,2.7716094936172415
rosa,1.5727532987779478,4.003038464946857
farms,-1.3242074049964272,0.8676975563364829
wise,-1.0135932782854022,5.128561611492896
demands,3.5905727264824843,-0.5553367701663179
navigation,-0.7558447626712623,0.16097951771702912
winnipeg,-2.7606148706163975,3.8504977123747826
predecessor,2.4717474138351467,-1.8817192499757507
jessica,-4.021280431464335,1.755202487563688
chambers,-0.9065424330463319,5.086009336929654
silva,2.256724589064295,4.086097720794922
surrender,-2.1400889190904016,-3.189319146798158
referring,3.9643299876866624,-1.4745931116151363
gross,-0.46112586357211294,4.321886411468775
approached,3.020716833865695,-0.8879466696045364
worlds,-0.8719892520306164,-2.760615054010422
governing,3.413577019195966,0.6409689558619989
knows,2.8198659880764816,-2.7741984221786695
founders,1.4749299129504838,0.8543089742987913
chapters,-0.6153053049400369,-2.0719996272800567
surrey,-3.3452098382124813,3.701391335321653
wheels,-1.1300688297708497,-1.235161602575072
informed,4.043749718343201,-0.7226533497766053
betty,-3.9975884929690797,1.7668109949056359
binding,2.3179544337066416,-4.047050130114095
nominee,0.6365522416263821,1.7860116471465757
senators,2.2234033135290923,2.3066695921398495
serie,1.6053820428413914,3.8645473994026784
legendary,-1.2768050779977564,-2.607526309131334
kills,-0.8717925468490706,-3.814393195372582
brook,-1.3914522798542837,3.0380118082057392
ports,-1.7944850384040414,0.7431973851749947
interesting,3.9209318017590706,-1.9268639090064303
photograph,0.15393387957758642,-1.5160080793171402
anthology,-0.7339104803232595,-2.6062460033443298
regard,4.081234275830429,-1.1652449953036303
oslo,0.479945844011552,3.3898601978266476
cyprus,1.3724120573062528,3.3373902619188187
aware,4.092258304819305,-1.397194452583031
girlfriend,-2.2078334490734863,-2.0817703093373234
dragons,-2.5425090365011767,1.50238990192717
arrives,1.0379503900677776,-3.868969003400264
colored,0.3637265903214186,2.3273969442972815
contracts,2.862805321423194,0.7057941639802028
nobel,-0.5269489465176657,-0.1915835747582129
enrolled,-0.6158467980568629,-0.024848485553330694
conquest,-2.0403402100122046,-2.9951756238651166
quest,-1.1139493773919475,-2.6558580763368047
exploration,2.9996293119752777,-0.7268268817943612
faster,2.9437516683379563,-3.3779498854141945
moderate,3.8477257187295772,-2.788041405355583
ne,-3.2697903684313143,1.0437506098165004
devon,-3.3312280522774653,3.6865000643276042
