words,x,y
cane,2.842677773551558,9.04018604010493
lemon,8.280192664111846,-3.591479418915166
potato,-3.9537829824553214,1.3097694734015128
banana,3.6239229853606494,2.5344325722178964
butter,-5.51835148018953,-3.947985952108912
beans,-6.778194983701424,1.9069684769400437
coconut,1.853793696597184,4.069822132704018
vegetable,-5.138579705148796,4.634231370152169
pork,-10.740160923886883,-3.2930886946028264
strawberry,8.759411281157497,-0.28507143139409885
potatoes,-10.208505856374039,4.065240910021272
nut,3.0955946177295544,-0.1252709020420544
peach,10.126958457893437,0.032816500670492355
blossom,14.016801732156003,-0.5123223378213843
maize,-6.3837773266552835,13.419352292512725
onion,-0.46973943485428116,-2.9331355452665915
barley,-4.17399951467882,7.417336207876258
tomato,-1.7969962050168582,0.15918240566566527
plum,9.26387316992085,-0.07575914482354752
apples,0.5837227587539221,3.5894960900996042
baked,-7.78900468980731,-7.588696394530326
cookie,2.9217447206755476,-7.902219319808874
mango,5.566699348985864,4.186043022052223
salad,-4.146497375842434,-7.2832193189803665
jelly,3.138070980107447,-7.47882843881634
garlic,-4.727949205939794,0.03369966434181848
vanilla,4.37133641722275,-2.203153555136835
cinnamon,3.8005639346786957,-1.324096010102194
almond,6.3901623596011214,0.04087863114214557
bananas,-0.9751315729107584,6.465402551742621
cereal,-4.055824561314223,1.8856254589550812
peanut,-0.4704077889038033,-1.475594383865201
onions,-6.020517704417197,-0.5079400480632402
sausage,-7.308873931837491,-8.136285258855649
cakes,-4.221209812852336,-6.367030005218185
lavender,9.316251950657245,0.8516620399369614
syrup,-3.074273792374602,-0.6109696801856525
