words,x,y
guitar,-8.020543354949002e-05,7.408841856621367e-05
bass,0.00019324638902274736,-3.0288270568926732e-05
piano,2.2040426667070804e-05,-0.0001620134861558948
drums,-0.00012301710146280946,4.267610867973465e-06
string,5.27385085130663e-05,-6.831901784789309e-05
keyboards,-0.00014446145421454382,0.00018078826914760853
percussion,-0.00010621635973328487,-0.00015600104135782384
violin,-5.30077891023434e-05,2.8461281245311478e-05
horn,-1.1605593567604088e-05,0.00011827744058635957
saxophone,-6.787661780308622e-05,3.5154468477537886e-05
tenor,-2.0599570065649437e-05,-9.553375664548496e-05
flute,-0.0001667631985484012,0.0001988659381544124
viola,6.737659566642568e-05,-0.00010172154398159958
trumpet,6.061649969673159e-05,6.734903915199173e-05
cello,1.0360328820337518e-05,0.00019319625640642964
clarinet,9.551139764974386e-05,-0.00015578813110675888
baritone,-8.411271940240724e-05,0.00010895750833442888
synthesizer,0.00023425485580280035,8.570808772746825e-05
trombone,8.64478225120112e-05,0.00011290305914002067
harp,-2.6368351249882037e-05,8.085296259341714e-05
dog,-7.008126268516179e-05,-1.9102072541661525e-05
cat,-2.5106399410586568e-05,-2.8809968584961353e-05
dragon,1.0269081541780025e-05,9.364641822701153e-05
monster,5.495224939424581e-05,-3.96737236789628e-05
mouse,1.179356592930252e-05,2.312777921808425e-05
snake,-2.373439379513541e-05,-0.0001578539071974495
cats,3.5994889644392674e-05,9.605837961528274e-06
pet,-3.992136413851047e-05,0.00012628036829332156
elephant,-3.2182949117382565e-05,-0.00015157258492222518
monkey,6.475537367218407e-05,-8.34001128675709e-05
rat,1.7985382376038647e-05,3.854009598067797e-05
rabbit,2.8960775497225366e-05,7.879584515617454e-05
pig,9.910102438201184e-05,1.544701627406844e-05
doll,-5.894488976867176e-05,8.265666657205689e-05
